timems,x,y,theta,vx,vy
1464190842200,0.07730240374803543,-0.07916130125522614,5.559693813323975,0.05233583226799965,0.008417447097599506
1464190842279,0.07686667144298553,-0.07877643406391144,5.562009811401367,0.04981275647878647,0.009190215729176998
1464190842321,0.08125163614749908,-0.08263147622346878,5.5531439781188965,0.05155448988080025,0.005649992730468512
1464190842359,0.08304539322853088,-0.08423687517642975,5.549679279327393,0.052082374691963196,0.0038083090912550688
1464190842528,0.08710432052612305,-0.0878949835896492,5.560943603515625,0.050955358892679214,0.007578431628644466
1464190842608,0.09242624044418335,-0.09258382022380829,5.555105209350586,0.052099067717790604,0.004899265710264444
1464190842689,0.10281922668218613,-0.10184881091117859,5.550312042236328,0.05592440068721771,0.0030158061999827623
1464190842806,0.10609082877635956,-0.10479360073804855,5.506137847900391,0.055842138826847076,-0.012833641842007637
1464190842867,0.1137424185872078,-0.11231845617294312,5.487916469573975,0.05790817737579346,-0.01870417594909668
1464190842918,0.12079492956399918,-0.11951158195734024,5.480855464935303,0.060529254376888275,-0.02075212448835373
1464190842983,0.12163892388343811,-0.12038465589284897,5.498134136199951,0.06008642539381981,-0.01463836245238781
1464190843056,0.12201836705207825,-0.12076383829116821,5.501235008239746,0.06023518741130829,-0.01339823566377163
1464190843099,0.12324140220880508,-0.12197846919298172,5.503013610839844,0.060395192354917526,-0.012695489451289177
1464190843306,0.15859362483024597,-0.15696308016777039,5.49110746383667,0.07003091275691986,-0.015154387801885605
1464190843344,0.159299835562706,-0.1576787829399109,5.489146709442139,0.0703643411397934,-0.01626812480390072
1464190843388,0.15913183987140656,-0.15750785171985626,5.489475727081299,0.07006171345710754,-0.016444064676761627
1464190843388,0.15918871760368347,-0.15756568312644958,5.487489700317383,0.06943300366401672,-0.017033152282238007
1464190843471,0.162242591381073,-0.16068311035633087,5.4981160163879395,0.06996015459299088,-0.01385713554918766
1464190843547,0.17353512346744537,-0.17196820676326752,5.502039432525635,0.07229233533143997,-0.012296601198613644
1464190843618,0.17508520185947418,-0.17350515723228455,5.502673149108887,0.07216577976942062,-0.01204697322100401
1464190843686,0.18380557000637054,-0.18214072287082672,5.504072666168213,0.07432715594768524,-0.011359406635165215
1464190843796,0.19397905468940735,-0.1921871155500412,5.486816883087158,0.07587403804063797,-0.015591398812830448
1464190843836,0.19465890526771545,-0.19288204610347748,5.484457969665527,0.07611685246229172,-0.016130829229950905
1464190843875,0.19590643048286438,-0.1941632777452469,5.48488187789917,0.07635260373353958,-0.015978241339325905
1464190843875,0.19546188414096832,-0.19370710849761963,5.490407466888428,0.07595659047365189,-0.01439746841788292
1464190843922,0.20123206079006195,-0.19956308603286743,5.489180088043213,0.07746363431215286,-0.014849693514406681
1464190843931,0.20410239696502686,-0.20248326659202576,5.490532398223877,0.07824211567640305,-0.014527035877108574
1464190843976,0.20368310809135437,-0.2020578384399414,5.484735488891602,0.07743870466947556,-0.01613743230700493
1464190844016,0.20402465760707855,-0.20240843296051025,5.488697528839111,0.07722339034080505,-0.015158279798924923
1464190844016,0.2043749988079071,-0.20276521146297455,5.488543510437012,0.07728919386863708,-0.015100540593266487
1464190844067,0.21028190851211548,-0.2087823450565338,5.486514568328857,0.07881038635969162,-0.01593872159719467
1464190844077,0.21282896399497986,-0.2113874852657318,5.491397380828857,0.07936684042215347,-0.014676363207399845
1464190844115,0.2135239988565445,-0.21209146082401276,5.507758140563965,0.0793537050485611,-0.010364139452576637
1464190844115,0.21424107253551483,-0.21279437839984894,5.513922214508057,0.07935623079538345,-0.008757051080465317
1464190844156,0.21523655951023102,-0.21375824511051178,5.514975070953369,0.07968825101852417,-0.008363639935851097
1464190844158,0.21636734902858734,-0.21485081315040588,5.511786460876465,0.080020472407341,-0.009226973168551922
1464190844200,0.21769975125789642,-0.21614642441272736,5.511639595031738,0.08048491925001144,-0.009282069280743599
1464190844200,0.21927718818187714,-0.21768075227737427,5.51116943359375,0.08097825944423676,-0.009387955069541931
1464190844200,0.2206781506538391,-0.21904471516609192,5.509864330291748,0.08137848973274231,-0.00960076879709959
1464190844200,0.223009392619133,-0.22132033109664917,5.50900936126709,0.08200356364250183,-0.009928807616233826
1464190844251,0.22412410378456116,-0.22241029143333435,5.507465839385986,0.08232323825359344,-0.010452940128743649
1464190844251,0.22509858012199402,-0.22336608171463013,5.5069804191589355,0.0826117992401123,-0.010553342290222645
1464190844251,0.22590452432632446,-0.22415734827518463,5.509610176086426,0.08284897357225418,-0.009926706552505493
1464190844251,0.22672462463378906,-0.22495828568935394,5.510217189788818,0.08311230689287186,-0.00993211567401886
